,stop_name,platform_code,asw_node_id,asw_stop_id,asw_ids
9045,"Tichonice,Soušice",B,5733,2,5733_2
9046,"Tichonice,Soušice,Dolíky",A,5734,1,5734_1
9047,"Tichonice,Soušice,Dolíky",B,5734,2,5734_2
9048,Tochovice,A,5736,1,5736_1
9049,Tochovice,B,5736,2,5736_2
9050,"Tochovice,ObÚ",A,5737,1,5737_1
9051,"Tochovice,Hořejany",A,5738,1,5738_1
9052,Tomice,A,5739,1,5739_1
9053,Tomice,B,5739,2,5739_2
9054,"Tomice,u mostu",A,5740,1,5740_1
9055,"Tomice,u mostu",B,5740,2,5740_2
9056,"Trhový Štěpánov,Vlašimská",A,5741,1,5741_1
9057,"Trhový Štěpánov,Vlašimská",B,5741,2,5741_2
9058,"Trhový Štěpánov,mlýn",A,5742,1,5742_1
9059,"Trhový Štěpánov,mlýn",B,5742,2,5742_2
9060,"Trhový Štěpánov,nám.",A,5743,1,5743_1
9061,"Trhový Štěpánov,nám.",B,5743,2,5743_2
9062,"Trhový Štěpánov,nám.",C,5743,3,5743_3
9063,"Trhový Štěpánov,nám.",D,5743,4,5743_4
9064,"Trhový Štěpánov,ObÚ",A,5744,1,5744_1
9065,"Trhový Štěpánov,ObÚ",B,5744,2,5744_2
9066,"Trhový Štěpánov,pod pasekou",A,5745,1,5745_1
9067,"Trhový Štěpánov,pod pasekou",B,5745,2,5745_2
9068,"Trhový Štěpánov,Dalkovice",A,5747,1,5747_1
9069,"Trhový Štěpánov,Dalkovice",B,5747,2,5747_2
9070,"Trhový Štěpánov,Dubějovice",A,5748,1,5748_1
9071,"Trhový Štěpánov,Dubějovice",B,5748,2,5748_2
9072,"Trhový Štěpánov,Sedmpány",A,5749,1,5749_1
9073,"Trhový Štěpánov,Sedmpány",B,5749,2,5749_2
9074,"Trhový Štěpánov,Sedmpány,háj.",A,5750,1,5750_1
9075,"Trhový Štěpánov,Sedmpány,háj.",B,5750,2,5750_2
9076,"Trhový Štěpánov,Střechov",A,5751,1,5751_1
9077,"Trhový Štěpánov,Střechov",B,5751,2,5751_2
9078,"Trhový Štěpánov,Střechov,u mostu",A,5752,1,5752_1
9079,"Trhový Štěpánov,Střechov,u mostu",B,5752,2,5752_2
9080,"Třebešice,rozc.",A,5753,1,5753_1
9081,"Třebešice,rozc.",B,5753,2,5753_2
9082,Třebsko,A,5755,1,5755_1
9083,Třebsko,B,5755,2,5755_2
9084,Tušovice,A,5756,1,5756_1
9085,Tušovice,B,5756,2,5756_2
9086,"Tušovice,Tušovičky",A,5757,1,5757_1
9087,"Tušovice,Tušovičky",B,5757,2,5757_2
9088,"Úmonín,Březová",A,5759,1,5759_1
9089,"Úmonín,Březová",B,5759,2,5759_2
9090,"Úmonín,Lomec",A,5760,1,5760_1
9091,"Úmonín,Lomec",B,5760,2,5760_2
9092,"Úmonín,Lomeček",A,5761,1,5761_1
9093,"Úmonín,Lomeček",B,5761,2,5761_2
9094,"Úmonín,Lomeček,rozc.",A,5762,1,5762_1
9095,"Úmonín,Lomeček,rozc.",B,5762,2,5762_2
9096,"Veliš,bytovky",A,5764,1,5764_1
9097,"Veliš,bytovky",B,5764,2,5764_2
9098,"Veliš,Nespery",A,5765,1,5765_1
9099,"Veliš,Nespery",B,5765,2,5765_2
9100,"Zaječov,u hřbitova",1,5767,1,5767_1
9101,"Zaječov,u hřbitova",2,5767,2,5767_2
9102,Věšín,A,5768,1,5768_1
9103,Věšín,B,5768,2,5768_2
9104,"Vidice,Karlov,rozc.",A,5772,1,5772_1
9105,"Vidice,Karlov,rozc.",B,5772,2,5772_2
9106,Višňová,A,5773,1,5773_1
9107,Višňová,B,5773,2,5773_2
9108,"Višňová,Buda",A,5774,1,5774_1
9109,"Višňová,Buda",B,5774,2,5774_2
9110,"Višňová,Hlinovka",A,5775,1,5775_1
9111,"Višňová,Hlinovka",B,5775,2,5775_2
9112,"Višňová,rozc.",A,5776,1,5776_1
9113,"Višňová,rozc.",B,5776,2,5776_2
